                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2387,                 7.4852,                 4.9721,                0.74616,                0.66792,                0.71686,                 0.4102,                 3.1046,                 2.8595,                 3.3041,             0.00066616,             0.00066616,             0.00066616
                      2,                 2.9685,                 2.4413,                 3.2334,                0.85139,                0.74703,                0.84801,                0.45629,                 3.1307,                 2.1358,                 3.2058,             0.00067308,             0.00067308,             0.00067308
